"","feature","meanImp"
"1","NeighborhoodNoRidge",2.87172144976693
"2","BldgTypeTwnhs",2.92583684666453
"3","BldgTypeDuplex",2.97284808682365
"4","NeighborhoodClearCr",3.03340766705928
"5","MSSubClass90",3.04450985859254
"6","NeighborhoodGilbert",3.15312516568556
"7","LandContour",3.16743816833449
"8","NeighborhoodEdwards",3.21753038283441
"9","NeighborhoodNAmes",3.35899373846752
"10","Exterior1stVinylSd",3.56527430153813
"11","NeighborhoodMeadowV",3.60330237985621
"12","NeighborhoodNridgHt",3.65353039144364
"13","Exterior2ndVinylSd",3.65871377645295
"14","Exterior2nd",3.70743296972754
"15","WoodDeckSF",3.74219222247126
"16","MasVnrType",3.79093585967905
"17","MSSubClass20",3.83013217851127
"18","BsmtFullBath",3.9774660265868
"19","KitchenAbvGr",3.98428390277088
"20","Exterior1st",4.20273738344655
"21","RecentGarage",4.38998068092885
"22","BsmtCond",4.43944328837612
"23","GarageQual",4.45262458589473
"24","FoundationCBlock",4.47155005087886
"25","RecentGarage1",4.47718624198333
"26","HouseStyle1Story",4.52788177855667
"27","GarageCond",4.60505236168365
"28","MSSubClass160",4.60799750146075
"29","OverallCond",4.63031466021146
"30","LotFrontage",5.10279855734327
"31","MSSubClass30",5.36161267996828
"32","HeatingQC",5.43142305951188
"33","HouseStyle2Story",5.45420999285871
"34","NeighborhoodCrawfor",5.61315684486898
"35","CentralAir",5.62361297916377
"36","MasVnrArea",5.63114577657298
"37","HouseStyle",5.6864485125798
"38","OpenPorchSF",5.76099042833866
"39","Foundation",5.8593804172101
"40","BldgType",6.01000696335279
"41","BsmtUnfSF",6.14869182676933
"42","HalfBath",6.3398532063891
"43","BedroomAbvGr",6.3910639477773
"44","MSZoningRL",6.43155962707991
"45","FoundationPConc",6.45728851942688
"46","BsmtFinType1",6.57715661669808
"47","MSZoningRM",6.78635269385201
"48","MSSubClass60",6.86400349798153
"49","MSZoning",7.41233939649999
"50","Neighborhood",7.98668550011859
"51","GarageFinish",8.03228423107551
"52","GarageTypeOT",8.11759729865113
"53","GarageType",8.17533454134454
"54","TotRmsAbvGrd",8.36736587233178
"55","MSSubClass",8.43158595577589
"56","BsmtFinSF1",8.43607034433444
"57","BsmtQual",8.81012082938722
"58","FullBath",8.89912976546001
"59","GarageYrBlt",8.9952350215373
"60","YearRemodAdd",9.26193406496329
"61","LotArea",9.51899880635325
"62","Fireplaces",9.53034391815059
"63","YearBuilt",10.3206608340028
"64","KitchenQual",10.5802417973189
"65","FireplaceQu",10.9169079203798
"66","GarageCars",11.0229064989338
"67","TotBathRms",11.1672836082755
"68","ExterQual",11.3731230043804
"69","GarageArea",11.6079126968187
"70","GarageCarsTimesArea",12.3665221925817
"71","TotalBsmtSF",13.0063297058656
"72","X1stFlrSF",13.218959562327
"73","X2ndFlrSF",13.4426750914806
"74","OverallQual",15.2231501530449
"75","GrLivArea",18.7631299616496
