"","w1","w2","w3","w4","R2","RMSE","MAE"
"1",4.5,1,4,2,0.894627092292103,0.127764560957844,0.0849723050699882
"2",3.5,0,2.5,2.5,0.91951774136937,0.118239864264257,0.0765254370136884
"3",0,0.5,0.5,1.5,0.931359031126328,0.111400043324836,0.0760771545984522
"4",0,0,3,4.5,0.934841603206002,0.0992052779255785,0.0740562241371167
"5",3.5,0,1.5,0,0.930353944849377,0.103729735403972,0.0721112297473215
"6",0,0,1.5,3.5,0.91731863262385,0.110506646761758,0.0771536402422439
"7",0.25,2,0.5,0,0.908340247184706,0.120055576227218,0.0796784740633492
"8",1.5,0.5,3.5,4.5,0.931653389703439,0.105588808564243,0.0701661011874944
"9",0,4.5,2.5,0,0.919990479423406,0.116743194655581,0.0784952157943211
"10",1,0,5,4,0.930705011497206,0.104481670496627,0.0745813663601719
